a0410b,a0410c,a0410d,a0410e,a0410f,a0502a,a0502c,a0502d,a0410a,a0404,a0405aa,a0405b,a0406,A0408A,A0408B,A0408C,A0408D,A0408E,a0409,a0409a,a0405m,a0405a,edad,sexo
2,2,2,1,2,2,1,2,1,1,2,0,12,5,0,0,0,0,1,1,0,1,61,2
2,2,2,2,2,2,2,2,2,1,2,0,1,5,0,0,0,0,2,2,2,0,49,2
2,2,2,2,2,2,2,2,2,1,2,0,12,1,0,0,0,0,3,1,0,25,70,1
2,2,2,2,2,2,2,2,2,1,2,0,12,5,0,0,0,0,4,4,0,10,69,1
2,1,2,1,2,1,2,2,2,1,2,0,12,1,0,0,0,0,1,1,0,15,81,2
2,2,2,2,2,2,2,2,1,1,1,2,12,5,0,0,0,0,2,12,0,10,61,2
2,2,2,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,2,3,0,0,44,2
2,2,2,2,2,2,2,2,2,1,2,0,0,1,2,3,0,0,2,1,0,4,55,1
2,2,2,2,2,2,2,2,2,2,0,0,0,1,2,0,0,0,3,1,0,0,34,2
2,2,2,2,2,2,2,2,2,1,2,0,0,5,0,0,0,0,1,1,0,37,69,2
0,0,0,0,0,2,2,2,0,2,0,0,0,5,0,0,0,0,5,0,0,0,39,2
2,2,2,2,2,2,2,2,2,1,1,1,0,5,0,0,0,0,5,0,0,33,58,1
2,2,2,2,2,2,2,2,2,1,2,0,0,1,0,0,0,0,2,2,0,1,65,1
0,0,0,0,0,2,2,2,0,2,0,0,0,5,0,0,0,0,2,4,0,0,32,2
2,2,2,2,2,2,2,2,2,1,1,1,12,5,0,0,0,0,3,1,0,8,60,2
2,2,2,2,2,2,2,2,2,2,0,0,2,4,0,0,0,0,1,2,0,0,72,2
2,2,2,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,5,0,0,0,35,1
2,2,2,2,2,2,2,2,2,1,2,0,12,1,0,0,0,0,2,1,1,0,68,2
2,2,2,2,2,2,2,2,2,1,2,0,0,5,0,0,0,0,4,2,0,1,55,2
2,2,2,2,2,2,2,2,2,1,2,0,12,5,0,0,0,0,3,1,0,4,71,2
2,2,2,2,2,2,2,2,1,2,0,0,3,1,3,0,0,0,3,2,0,0,62,1
2,2,1,2,2,2,2,2,1,2,0,0,0,3,0,0,0,0,5,0,0,0,54,1
2,2,2,2,2,2,1,2,1,1,2,0,0,5,0,0,0,0,2,2,0,12,35,2
2,2,2,2,2,2,2,2,2,1,1,1,3,5,0,0,0,0,2,6,0,17,63,2
2,2,2,2,2,2,2,2,2,1,2,0,99,5,0,0,0,0,4,1,0,10,83,2
2,2,2,2,2,2,2,2,2,1,2,0,1,5,0,0,0,0,4,5,0,5,65,2
2,2,2,2,2,2,2,2,1,1,1,2,0,3,0,0,0,0,4,5,0,15,51,2
2,2,2,2,2,2,2,2,2,1,1,1,0,5,0,0,0,0,2,3,0,10,63,2
2,2,2,2,2,2,2,2,2,1,2,0,0,3,4,0,0,0,2,1,3,0,64,2
2,2,2,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,5,0,0,0,41,1
0,0,0,0,0,2,2,2,0,2,0,0,0,5,0,0,0,0,4,2,0,0,22,2
2,2,2,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,3,1,0,0,65,2
2,2,2,2,2,2,2,2,2,1,1,2,0,1,0,0,0,0,2,1,6,1,55,2
2,2,2,2,2,2,2,2,2,1,2,0,11,5,0,0,0,0,2,1,0,15,73,2
2,2,2,2,2,2,2,2,2,1,2,0,12,5,0,0,0,0,3,12,0,3,67,1
2,2,2,2,2,2,2,2,2,1,1,1,12,5,0,0,0,0,3,1,1,2,63,2
2,2,2,2,2,2,2,2,2,2,0,0,3,2,0,0,0,0,2,2,0,0,52,2
2,2,2,2,2,2,2,2,2,1,2,0,12,3,0,0,0,0,3,1,5,0,79,2
2,1,2,2,2,1,2,2,2,1,2,0,12,5,0,0,0,0,1,2,0,15,73,2
2,2,2,2,2,2,2,2,2,1,1,2,1,5,0,0,0,0,3,8,1,0,63,2
